Country,Year,Emissions (CH4)_Agrifood Systems Waste Disposal,Emissions (CO2)_Agrifood Systems Waste Disposal,Emissions (N2O)_Agrifood Systems Waste Disposal,Emissions (CH4)_Burning - Crop residues,Emissions (N2O)_Burning - Crop residues,Emissions (N2O)_Crop Residues,Emissions (CO2)_Drained organic soils (CO2),Emissions (N2O)_Drained organic soils (N2O),Emissions (CH4)_Energy,Emissions (CO2)_Energy,Emissions (N2O)_Energy,Emissions (CH4)_Enteric Fermentation,Emissions (CH4)_Fires in humid tropical forests,Emissions (N2O)_Fires in humid tropical forests,Emissions (CH4)_Fires in organic soils,Emissions (CO2)_Fires in organic soils,Emissions (CH4)_Food Household Consumption,Emissions (CO2)_Food Household Consumption,Emissions (N2O)_Food Household Consumption,Emissions (CH4)_Food Packaging,Emissions (CO2)_Food Packaging,Emissions (N2O)_Food Packaging,Emissions (CH4)_Food Processing,Emissions (CO2)_Food Processing,Emissions (N2O)_Food Processing,Emissions (CH4)_Food Retail,Emissions (CO2)_Food Retail,Emissions (N2O)_Food Retail,Emissions (CH4)_Food Transport,Emissions (CO2)_Food Transport,Emissions (N2O)_Food Transport,Emissions (CH4)_Forest fires,Emissions (N2O)_Forest fires,Emissions (CO2)_Forestland,Emissions (CH4)_IPPU,Emissions (CO2)_IPPU,Emissions (N2O)_IPPU,Emissions (CH4)_Manure Management,Emissions (N2O)_Manure Management,Emissions (N2O)_Manure applied to Soils,Emissions (N2O)_Manure left on Pasture,Emissions (CO2)_Net Forest conversion,Emissions (CH4)_On-farm energy use,Emissions (CO2)_On-farm energy use,Emissions (N2O)_On-farm energy use,Emissions (CH4)_Pesticides Manufacturing,Emissions (CO2)_Pesticides Manufacturing,Emissions (N2O)_Pesticides Manufacturing,Emissions (CH4)_Rice Cultivation,Emissions (CH4)_Savanna fires,Emissions (N2O)_Savanna fires,Emissions (N2O)_Synthetic Fertilizers,Emissions (CH4)_Waste,Emissions (CO2)_Waste,Emissions (N2O)_Waste,Rice Production(Tonne),Temperature Index,Surface Temperature
Afghanistan,2011,86.0901,36.7843,0.6149,3.2219,0.0835,1.2643,0.0,0.0,42.0021,12125.408,0.4529,402.513,0.0,0.0,0.0,0.0,0.0351,521.2281,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,24.7973,0.0002,0.0832,466.8528,0.0363,0.0,0.0,-246.2191,0.0,189.8597,0.009,26.1599,0.4177,1.6961,10.718,0.0,0.0012,50.3089,0.0004,0.0,0.0,0.0,29.4,0.0321,0.0029,0.4783,148.0,6.5,0.866,672000.0,1.455,1
Afghanistan,2012,90.645,36.9582,0.6357,3.4035,0.0882,1.6815,0.0,0.0,38.2303,10219.873,0.4056,396.921,0.0,0.0,0.0,0.0,0.0366,532.9312,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,20.3009,0.0002,0.0803,518.4998,0.038,0.0,0.0,-246.2191,0.0,264.4251,0.0093,26.0913,0.4013,1.6674,10.5613,0.0,0.0012,47.0124,0.0005,0.0,0.0,0.0,28.7,0.0528,0.0048,0.3553,154.0,6.56,0.899,500000.0,0.271,1
Afghanistan,2013,95.0568,36.9768,0.6503,3.4506,0.0895,1.7173,0.0,0.0,39.4912,8437.8372,0.3134,393.093,0.0,0.0,0.0,0.0,0.06,830.9678,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,18.0248,0.0001,0.0745,380.7542,0.0311,0.0,0.0,-246.2191,0.0,331.0106,0.0096,26.0859,0.3868,1.6302,10.3438,0.0,0.0017,66.4802,0.0007,0.0,0.0,0.0,28.7,0.0546,0.005,0.7267,159.0,6.59,0.929,512094.0,1.345,1
Afghanistan,2014,98.8929,37.0037,0.6441,3.5413,0.0918,1.7865,0.0,0.0,41.9869,7780.6958,0.2789,398.287,0.0,0.0,0.0,0.0,0.0785,1091.1992,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,50.0816,0.0004,0.0538,296.4959,0.0233,0.0,0.0,-246.2191,0.0,284.5682,0.0099,26.3682,0.3932,1.6514,10.4546,0.0,0.0017,78.4334,0.0007,0.0,0.0,0.0,30.8,0.0506,0.0046,1.5381,165.0,6.58,0.948,537000.0,0.521,1
Afghanistan,2015,102.9258,36.8965,0.6466,2.9452,0.0764,1.522,0.0,0.0,39.4731,7894.7485,0.3001,382.694,0.0,0.0,0.0,0.0,0.1164,1566.1336,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,54.9115,0.0004,0.0966,427.3708,0.0376,0.0,0.0,-246.2191,0.0,257.2796,0.0102,24.762,0.3946,1.5981,10.261,0.0,0.0019,74.9253,0.0007,0.0,0.0,0.0,22.96,0.0142,0.0013,1.9263,170.0,6.53,0.954,410000.0,1.204,1
Afghanistan,2016,106.6721,36.8113,0.6639,3.0734,0.0797,1.4627,0.0,0.0,44.6,6764.509,0.2548,380.2907,0.0,0.0,0.0,0.0,0.1219,1645.3967,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,61.2402,0.0005,0.0651,331.8737,0.0272,0.0,0.0,154.6574,0.0,299.2927,0.0104,24.6335,0.3932,1.5922,10.1621,0.0,0.0022,84.0228,0.0008,0.0,0.0,0.0,16.66,0.0293,0.0027,2.0128,175.0,6.22,0.955,356565.0,1.612,1
Afghanistan,2017,110.2226,36.8652,0.6751,2.7997,0.0726,1.3003,0.0,0.0,52.164,6860.6932,0.2572,370.5589,0.0,0.0,0.0,0.0,0.104,1427.6408,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,65.7625,0.0006,0.0731,336.05,0.0289,0.0,0.0,154.6574,0.0,270.4872,0.0107,23.6297,0.4014,1.5932,10.1107,0.0,0.0025,96.2686,0.001,0.0,0.0,0.0,15.3233,0.0079,0.0007,2.9312,180.0,6.25,0.969,338420.0,1.642,1
Afghanistan,2018,113.5843,36.8059,0.6913,2.139,0.0555,1.1008,0.0,0.0,55.8339,7100.8699,0.2924,380.3177,0.0,0.0,0.0,0.0,0.1014,1388.7513,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,65.0548,0.0006,0.094,395.5444,0.0357,0.0,0.0,154.6574,0.0,291.0273,0.011,24.383,0.4081,1.6274,10.3186,0.0,0.002,82.8048,0.0009,0.0,0.0,0.0,16.4555,0.0038,0.0004,2.5113,183.0,7.0987,0.992,352177.0,1.624,1
Afghanistan,2019,116.8072,36.869,0.7074,2.9693,0.077,1.4916,0.0,0.0,55.3558,7669.5806,0.2675,378.3405,0.0,0.0,0.0,0.0,0.1112,1516.1172,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,69.4829,0.0007,0.1077,475.6127,0.0419,0.0,0.0,154.6574,0.0,275.815,0.0112,24.2676,0.4015,1.6061,10.2897,0.0,0.0022,92.1603,0.001,0.0,0.0,0.0,17.8542,0.1392,0.0127,1.2429,189.0,7.2592,1.05,382500.0,0.991,1
Afghanistan,2020,119.9452,36.9745,0.7237,3.4826,0.0903,1.6133,0.0,0.0,58.2612,7702.3388,0.2733,375.9504,0.0,0.0,0.0,0.0,0.1123,1543.9095,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,57.5409,0.0005,0.1327,528.5756,0.0492,0.0,0.0,154.6574,0.0,326.8768,0.0115,24.0706,0.4011,1.6021,10.2289,0.0,0.0025,101.3764,0.0011,0.0,0.0,0.0,20.6577,0.2291,0.0209,0.8983,194.0,7.4197,1.07,439549.0,0.587,1
Afghanistan,2021,122.7153,0.0,0.7389,2.4581,0.0637,1.2477,0.0,0.0,60.9727,7933.6889,0.2783,377.2484,0.0,0.0,0.0,0.0,0.1143,1587.6904,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0014,59.8424,0.0006,0.1349,547.5931,0.0504,0.0,0.0,154.6574,0.0,291.0283,0.0118,24.1936,0.4009,1.6046,10.2444,0.0,0.0026,108.2884,0.0012,0.0,0.0,0.0,21.3498,0.072,0.0066,0.6942,198.5312,7.5802,1.0873,458571.64,1.475,1
